Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
90563168,000003F6,false,Rx,0,8,18,00,00,00,00,00,00,00,
90564433,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
90583089,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
90583623,00000497,false,Rx,0,8,22,B4,00,00,00,00,00,00,
90583894,00000498,false,Rx,0,8,00,00,00,00,00,00,00,00,
90584163,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
90584422,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
90584672,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
90584931,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
90585175,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
90585426,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
90585685,00000596,false,Rx,0,8,15,80,00,00,5B,00,17,18,
90585943,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
90586203,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
90586463,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
90586745,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
90587003,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
90587242,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
90587646,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
90594062,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,A9,CC,
90594316,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
90594576,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
90663696,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
90663952,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
90664221,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
90666024,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
